Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FD,6.425,Low Fat,0.010497273,others,118.3808,16,not_mentioned,Tier 2,Supermarket Type1,2812.3392
FD,19.2,Low Fat,0.035384612,snacks_breakfast_type,180.3318,16,not_mentioned,Tier 2,Supermarket Type1,3428.2042
FD,11.8,Regular,0.014166739,Frozen Foods,178.2344,16,not_mentioned,Tier 2,Supermarket Type1,2854.9504
NC,10.1,Low Fat,0.054853377,others,198.6084,14,Medium,Tier 3,Supermarket Type2,2182.4924
FD,9.6,Low Fat,0.035406842,snacks_breakfast_type,244.317,38,Medium,Tier 3,Supermarket Type3,8262.578
NC,8.6,Low Fat,0.054601779,others,141.1154,25,not_mentioned,Tier 3,Grocery Store,425.4462
FD,17.7,Low Fat,0.029793955,snacks_breakfast_type,167.2816,38,Medium,Tier 3,Supermarket Type3,5704.5744
NC,6.26,Low Fat,0.031470832,others,110.2228,24,Medium,Tier 1,Supermarket Type1,1547.3192
FD,6.675,Low Fat,0.041921462,snacks_breakfast_type,92.3462,26,Small,Tier 1,Supermarket Type1,2406.2012
FD,7.26,Low Fat,0.014353676,Meat,115.515,38,Medium,Tier 3,Supermarket Type3,1631.21
FD,11.85,Regular,0.049842613,Fruits and Vegetables,164.2526,38,Medium,Tier 3,Supermarket Type3,3946.8624
FD,13.65,Regular,0.080640478,Frozen Foods,262.6936,26,Small,Tier 1,Supermarket Type1,4175.8976
FD,19.6,Regular,0.041806702,Frozen Foods,48.8376,16,not_mentioned,Tier 2,Supermarket Type1,527.3136
FD,15.0,Regular,0.054599767,others,59.4904,14,Medium,Tier 3,Supermarket Type2,644.4944
FD,9.2,Low Fat,0.177354373,Baking Goods,46.6744,38,Small,Tier 1,Grocery Store,135.8232
NC,5.32,Low Fat,0.093408695,others,101.2674,16,not_mentioned,Tier 2,Supermarket Type1,2241.0828
FD,10.5,Low Fat,0.041194986,Fruits and Vegetables,39.1164,38,Medium,Tier 3,Supermarket Type3,1235.7248
FD,8.3,Low Fat,0.035409328,Fruits and Vegetables,36.2506,24,Medium,Tier 1,Supermarket Type1,834.9132
FD,7.59,Regular,0.14526636,Fruits and Vegetables,172.908,24,Medium,Tier 1,Supermarket Type1,6231.888
FD,15.2,Low Fat,0.031860325,snacks_breakfast_type,235.1248,25,not_mentioned,Tier 3,Grocery Store,474.0496
FD,12.15,Low Fat,0.130544568,Frozen Foods,248.046,38,Medium,Tier 3,Supermarket Type3,7883.072
FD,19.7,Regular,0.01612717,others,189.3556,38,Medium,Tier 3,Supermarket Type3,2253.0672
FD,12.15,Regular,0.058663727,Fruits and Vegetables,164.1552,14,Medium,Tier 3,Supermarket Type2,3249.104
FD,21.1,Regular,0.162418495,Fruits and Vegetables,64.9168,16,not_mentioned,Tier 2,Supermarket Type1,639.168
FD,14.85,Regular,0.053921264,Baking Goods,123.0072,24,Medium,Tier 1,Supermarket Type1,1960.1152
FD,14.35,Low Fat,0.080594133,Baking Goods,80.996,26,Small,Tier 1,Supermarket Type1,1757.712
FD,17.75,Low Fat,0.073524776,others,34.8216,24,Medium,Tier 1,Supermarket Type1,207.7296
FD,10.5,Regular,0.02624324,Baking Goods,143.8128,38,Medium,Tier 3,Supermarket Type3,4458.1968
FD,20.1,Low Fat,0.07461309,Dairy,108.7228,19,Small,Tier 2,Supermarket Type1,1215.7508
FD,12.0,Regular,0.020442889,Meat,98.0042,24,Medium,Tier 1,Supermarket Type1,1587.2672
NC,16.35,Low Fat,0.034742632,others,127.402,21,not_mentioned,Tier 2,Supermarket Type1,759.012
FD,14.65,Low Fat,0.171245426,Fruits and Vegetables,50.3692,36,High,Tier 3,Supermarket Type1,591.2304
FD,9.21,Low Fat,0.008778413,Fruits and Vegetables,122.4414,24,Medium,Tier 1,Supermarket Type1,1583.9382
FD,7.655,Low Fat,0.031918284,others,117.7492,36,High,Tier 3,Supermarket Type1,695.0952
DR,8.21,Low Fat,0.0,Drinks,148.2392,21,not_mentioned,Tier 2,Supermarket Type1,1491.392
NC,9.895,Low Fat,0.060017128,others,230.8642,36,High,Tier 3,Supermarket Type1,4414.9198
DR,10.1,Low Fat,0.279783532,Drinks,241.8512,25,not_mentioned,Tier 3,Grocery Store,484.7024
FD,7.76,Low Fat,0.059594017,snacks_breakfast_type,99.67,14,Medium,Tier 3,Supermarket Type2,1897.53
FD,7.485,Low Fat,0.069231189,snacks_breakfast_type,112.1228,24,Medium,Tier 1,Supermarket Type1,1215.7508
FD,12.15,Regular,0.042277867,others,126.5046,36,High,Tier 3,Supermarket Type1,373.5138
FD,19.85,Low Fat,0.175849067,Fruits and Vegetables,222.0772,36,High,Tier 3,Supermarket Type1,2001.3948
NC,17.7,Low Fat,0.050929429,others,129.1678,19,Small,Tier 2,Supermarket Type1,1780.3492
FD,19.35,Regular,0.076914745,snacks_breakfast_type,114.8518,21,not_mentioned,Tier 2,Supermarket Type1,1707.777
FD,6.215,Low Fat,0.012167793,Fruits and Vegetables,37.4848,24,Medium,Tier 1,Supermarket Type1,111.8544
DR,8.395,Low Fat,0.072383777,Drinks,251.504,16,not_mentioned,Tier 2,Supermarket Type1,7084.112
FD,15.15,Regular,0.066164431,Frozen Foods,147.376,19,Small,Tier 2,Supermarket Type1,2197.14
FD,5.99,Low Fat,0.095331433,Frozen Foods,125.5678,38,Medium,Tier 3,Supermarket Type3,2543.356
FD,15.5,Regular,0.025513973,Baking Goods,83.7934,16,not_mentioned,Tier 2,Supermarket Type1,1474.0812
FD,14.1,Low Fat,0.11349714,Baking Goods,56.1956,21,not_mentioned,Tier 2,Supermarket Type1,1364.89
FD,13.35,Low Fat,0.0,snacks_breakfast_type,217.6166,14,Medium,Tier 3,Supermarket Type2,3265.749
FD,6.55,Regular,0.034745307,snacks_breakfast_type,158.8288,14,Medium,Tier 3,Supermarket Type2,4399.6064
FD,15.5,Regular,0.15028599,Frozen Foods,51.0692,38,Small,Tier 1,Grocery Store,147.8076
DR,10.1,Low Fat,0.046545786,Drinks,59.9878,36,High,Tier 3,Supermarket Type1,484.7024
FD,20.2,Regular,0.117599259,Baking Goods,195.311,21,not_mentioned,Tier 2,Supermarket Type1,3338.987
FD,16.1,Low Fat,0.06528457,Dairy,145.076,24,Medium,Tier 1,Supermarket Type1,1904.188
DR,8.93,Low Fat,0.049754975,Dairy,152.134,38,Small,Tier 1,Grocery Store,153.134
FD,8.38,Regular,0.04688734,Baking Goods,107.957,26,Small,Tier 1,Supermarket Type1,2966.139
FD,18.25,Low Fat,0.075132353,snacks_breakfast_type,125.9046,36,High,Tier 3,Supermarket Type1,2365.5874
NC,12.3,Low Fat,0.052247806,others,190.853,38,Medium,Tier 3,Supermarket Type3,4554.072
NC,11.395,Low Fat,0.009878459,others,47.6034,26,Small,Tier 1,Supermarket Type1,1312.2918
FD,9.3,Low Fat,0.174621343,snacks_breakfast_type,104.2964,24,Medium,Tier 1,Supermarket Type1,1998.7316
FD,7.895,Regular,0.061124626,snacks_breakfast_type,58.5588,36,High,Tier 3,Supermarket Type1,171.7764
DR,17.25,Low Fat,0.05869048,Dairy,91.612,25,not_mentioned,Tier 3,Grocery Store,93.212
FD,8.71,Regular,0.071806046,others,186.5924,38,Medium,Tier 3,Supermarket Type3,5182.5872
FD,14.5,Regular,0.058542509,Fruits and Vegetables,168.6448,38,Medium,Tier 3,Supermarket Type3,3408.896
FD,15.2,Low Fat,0.0,Meat,256.033,25,not_mentioned,Tier 3,Grocery Store,1281.665
FD,6.63,Regular,0.174110803,Baking Goods,166.85,25,not_mentioned,Tier 3,Grocery Store,499.35
NC,19.2,Low Fat,0.077132215,others,197.411,38,Medium,Tier 3,Supermarket Type3,5892.33
NC,9.0,Low Fat,0.069208684,others,264.0884,38,Medium,Tier 3,Supermarket Type3,4504.8028
FD,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,36,High,Tier 3,Supermarket Type1,2885.5772
FD,17.25,Low Fat,0.107021498,Frozen Foods,40.5822,19,Small,Tier 2,Supermarket Type1,785.644
NC,14.6,Low Fat,0.02575512,others,199.6084,21,not_mentioned,Tier 2,Supermarket Type1,3769.7596
FD,14.1,Low Fat,0.125675936,Fruits and Vegetables,86.9198,36,High,Tier 3,Supermarket Type1,1133.8574
NC,7.47,Low Fat,0.013056494,others,215.9192,38,Medium,Tier 3,Supermarket Type3,7334.4528
FD,7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,24,Medium,Tier 1,Supermarket Type1,759.012
FD,15.85,Low Fat,0.069240685,snacks_breakfast_type,217.5166,21,not_mentioned,Tier 2,Supermarket Type1,653.1498
FD,19.5,Low Fat,0.128728258,snacks_breakfast_type,155.3314,14,Medium,Tier 3,Supermarket Type2,3412.8908
FD,16.75,Low Fat,0.081304829,Fruits and Vegetables,258.4988,19,Small,Tier 2,Supermarket Type1,4111.9808
DR,9.395,Low Fat,0.160235723,Drinks,227.872,16,not_mentioned,Tier 2,Supermarket Type1,1584.604
FD,15.7,Regular,0.11521312,others,112.0202,16,not_mentioned,Tier 2,Supermarket Type1,3150.5656
FD,20.7,Low Fat,0.043011277,Dairy,177.2028,14,Medium,Tier 3,Supermarket Type2,3364.9532
FD,15.7,Regular,0.204984538,Fruits and Vegetables,111.0544,25,not_mentioned,Tier 3,Grocery Store,223.7088
FD,18.35,Regular,0.094218363,Fruits and Vegetables,83.9882,36,High,Tier 3,Supermarket Type1,1202.4348
FD,5.785,Regular,0.038756864,Fruits and Vegetables,260.7252,26,Small,Tier 1,Supermarket Type1,6033.4796
NC,16.6,Low Fat,0.027579198,others,178.7344,26,Small,Tier 1,Supermarket Type1,1605.9096
FD,16.5,Regular,0.066237024,snacks_breakfast_type,183.1292,19,Small,Tier 2,Supermarket Type1,6385.022
FD,12.6,Regular,0.041641933,Fruits and Vegetables,121.1072,21,not_mentioned,Tier 2,Supermarket Type1,980.0576
FD,7.825,Regular,0.149986868,Frozen Foods,158.8288,19,Small,Tier 2,Supermarket Type1,1414.1592
FD,5.78,Low Fat,0.095919472,snacks_breakfast_type,162.6552,38,Medium,Tier 3,Supermarket Type3,5685.932
FD,19.5,Regular,0.027214272,others,159.692,38,Medium,Tier 3,Supermarket Type3,3515.424
FD,15.0,Regular,0.054114924,others,58.4904,38,Medium,Tier 3,Supermarket Type3,1054.6272
FD,8.39,Regular,0.024205661,Frozen Foods,114.0176,26,Small,Tier 1,Supermarket Type1,2290.352
FD,16.6,Low Fat,0.0,others,118.8124,26,Small,Tier 1,Supermarket Type1,2607.2728
FD,17.6,Low Fat,0.010037996,snacks_breakfast_type,163.5552,19,Small,Tier 2,Supermarket Type1,3086.6488
FD,7.75,Regular,0.145200948,Frozen Foods,35.4558,38,Small,Tier 1,Grocery Store,135.8232
FD,5.76,Low Fat,0.143592939,Baking Goods,37.3164,38,Small,Tier 1,Grocery Store,38.6164
FD,17.2,Low Fat,0.156298858,Meat,162.1578,26,Small,Tier 1,Supermarket Type1,1283.6624
FD,10.695,Regular,0.127620811,Dairy,119.244,36,High,Tier 3,Supermarket Type1,3475.476
FD,12.3,Low Fat,0.0,Frozen Foods,190.9162,38,Medium,Tier 3,Supermarket Type3,5772.486
FD,11.5,Regular,0.037782943,snacks_breakfast_type,106.6254,16,not_mentioned,Tier 2,Supermarket Type1,325.5762
FD,12.85,Low Fat,0.0,snacks_breakfast_type,155.463,19,Small,Tier 2,Supermarket Type1,4068.038
FD,18.0,Low Fat,0.038978526,snacks_breakfast_type,148.6418,36,High,Tier 3,Supermarket Type1,2795.6942
FD,20.25,Regular,0.133347119,Dairy,193.0794,38,Small,Tier 1,Grocery Store,975.397
FD,5.365,Regular,0.140213762,others,173.7764,19,Small,Tier 2,Supermarket Type1,4637.9628
FD,13.85,Regular,0.149305497,Meat,119.6124,38,Small,Tier 1,Grocery Store,592.562
FD,6.92,Low Fat,0.038454076,Dairy,61.5852,26,Small,Tier 1,Supermarket Type1,813.6076
NC,17.25,Low Fat,0.113748685,others,251.3724,21,not_mentioned,Tier 2,Supermarket Type1,6795.1548
FD,6.67,Regular,0.122830885,snacks_breakfast_type,86.9514,38,Medium,Tier 3,Supermarket Type3,3364.9532
NC,11.1,Low Fat,0.033081389,others,116.5124,36,High,Tier 3,Supermarket Type1,1066.6116
FD,12.65,Regular,0.075981306,Frozen Foods,192.3846,36,High,Tier 3,Supermarket Type1,1910.846
FD,20.75,Regular,0.105994654,snacks_breakfast_type,150.5682,25,not_mentioned,Tier 3,Grocery Store,762.341
FD,10.3,Regular,0.024776026,Baking Goods,172.3422,38,Medium,Tier 3,Supermarket Type3,7759.899
FD,21.0,Low Fat,0.082526478,snacks_breakfast_type,191.8478,25,not_mentioned,Tier 3,Grocery Store,774.9912
FD,7.0,Low Fat,0.15202235,others,106.628,14,Medium,Tier 3,Supermarket Type2,639.168
FD,13.0,Regular,0.070444232,snacks_breakfast_type,63.4484,21,not_mentioned,Tier 2,Supermarket Type1,1043.9744
FD,5.34,Regular,0.005963881,snacks_breakfast_type,99.5358,26,Small,Tier 1,Supermarket Type1,1407.5012
FD,7.84,Regular,0.153806271,others,51.335,21,not_mentioned,Tier 2,Supermarket Type1,1198.44
NC,10.5,Low Fat,0.011278535,others,237.0248,36,High,Tier 3,Supermarket Type1,5451.5704
FD,9.5,Regular,0.132521929,Frozen Foods,228.6668,19,Small,Tier 2,Supermarket Type1,4146.6024
FD,5.94,Regular,0.029366813,snacks_breakfast_type,187.7556,19,Small,Tier 2,Supermarket Type1,3755.112
DR,6.03,Low Fat,0.0226848,Dairy,178.1028,36,High,Tier 3,Supermarket Type1,4604.6728
FD,10.1,Regular,0.0,Fruits and Vegetables,225.1088,36,High,Tier 3,Supermarket Type1,3579.3408
DR,10.8,Low Fat,0.061101383,Drinks,151.9024,26,Small,Tier 1,Supermarket Type1,2580.6408
FD,12.15,Low Fat,0.01544786,Frozen Foods,211.2928,36,High,Tier 3,Supermarket Type1,2735.1064
FD,6.765,Regular,0.087753682,Frozen Foods,105.3306,16,not_mentioned,Tier 2,Supermarket Type1,2090.612
NC,14.85,Low Fat,0.060967038,others,254.3698,19,Small,Tier 2,Supermarket Type1,4566.0564
FD,9.5,Low Fat,0.074496043,snacks_breakfast_type,251.9724,21,not_mentioned,Tier 2,Supermarket Type1,2516.724
FD,6.865,Regular,0.03598621,Frozen Foods,244.1486,14,Medium,Tier 3,Supermarket Type2,2687.8346
FD,20.0,Regular,0.028238317,Fruits and Vegetables,46.3744,14,Medium,Tier 3,Supermarket Type2,181.0976
FD,11.5,Regular,0.126114605,Frozen Foods,99.3358,14,Medium,Tier 3,Supermarket Type2,804.2864
FD,16.75,Low Fat,0.105282932,snacks_breakfast_type,156.963,14,Medium,Tier 3,Supermarket Type2,2816.334
FD,15.6,Regular,0.0,Dairy,62.4194,14,Medium,Tier 3,Supermarket Type2,804.9522
FD,12.65,Low Fat,0.069532901,Meat,51.8324,24,Medium,Tier 1,Supermarket Type1,1090.5804
FD,7.52,Regular,0.044091657,Baking Goods,182.995,24,Medium,Tier 1,Supermarket Type1,3844.995
NC,12.35,Low Fat,0.041802518,others,34.8216,24,Medium,Tier 1,Supermarket Type1,311.5944
FD,11.3,Regular,0.091310237,Meat,96.9094,25,not_mentioned,Tier 3,Grocery Store,190.4188
FD,5.59,Regular,0.056328717,snacks_breakfast_type,63.9168,38,Medium,Tier 3,Supermarket Type3,1597.92
NC,7.565,Low Fat,0.054630544,others,57.393,19,Small,Tier 2,Supermarket Type1,735.709
FD,12.15,Low Fat,0.06227604,Starchy Foods,37.9532,19,Small,Tier 2,Supermarket Type1,1078.596
NC,15.2,Low Fat,0.0,others,47.8034,24,Medium,Tier 1,Supermarket Type1,437.4306
FD,14.5,Regular,0.072221801,others,43.6454,38,Small,Tier 1,Grocery Store,125.8362
FD,11.15,Regular,0.105471384,Baking Goods,105.8648,24,Medium,Tier 1,Supermarket Type1,1973.4312
FD,11.5,Low Fat,0.072881535,Fruits and Vegetables,191.353,26,Small,Tier 1,Supermarket Type1,2277.036
FD,7.51,Low Fat,0.103793399,snacks_breakfast_type,110.1544,19,Small,Tier 2,Supermarket Type1,2684.5056
FD,12.6,Low Fat,0.049058014,snacks_breakfast_type,62.7194,16,not_mentioned,Tier 2,Supermarket Type1,866.8716
FD,9.195,Regular,0.064143995,Frozen Foods,85.9566,21,not_mentioned,Tier 2,Supermarket Type1,1691.132
FD,9.1,Regular,0.00799548,Frozen Foods,78.5618,38,Medium,Tier 3,Supermarket Type3,2255.7304
NC,20.7,Low Fat,0.065689432,others,149.7366,25,not_mentioned,Tier 3,Grocery Store,151.1366
FD,21.25,Low Fat,0.01001904,Meat,184.6608,21,not_mentioned,Tier 2,Supermarket Type1,367.5216
DR,16.2,Low Fat,0.019374768,Drinks,155.8972,19,Small,Tier 2,Supermarket Type1,2025.3636
FD,9.8,Regular,0.063916425,Fruits and Vegetables,117.1492,24,Medium,Tier 1,Supermarket Type1,2780.3808
FD,6.865,Regular,0.036042939,Frozen Foods,244.4486,16,not_mentioned,Tier 2,Supermarket Type1,4153.9262
FD,8.935,Low Fat,0.040245222,Frozen Foods,54.9298,24,Medium,Tier 1,Supermarket Type1,1348.245
FD,20.35,Low Fat,0.053795154,snacks_breakfast_type,117.7466,38,Medium,Tier 3,Supermarket Type3,1414.1592
DR,5.655,Low Fat,0.176070535,Drinks,144.0102,16,not_mentioned,Tier 2,Supermarket Type1,1749.7224
FD,11.3,Low Fat,0.007278512,Meat,196.7426,19,Small,Tier 2,Supermarket Type1,2768.3964
FD,10.695,Regular,0.061008889,snacks_breakfast_type,177.5712,16,not_mentioned,Tier 2,Supermarket Type1,2636.568
FD,13.65,Regular,0.031418984,others,99.27,36,High,Tier 3,Supermarket Type1,2596.62
FD,20.85,Low Fat,0.021312043,Fruits and Vegetables,104.9306,36,High,Tier 3,Supermarket Type1,2299.6732
FD,19.0,Low Fat,0.112893408,snacks_breakfast_type,131.0626,25,not_mentioned,Tier 3,Grocery Store,524.6504
FD,12.3,Regular,0.106327251,Fruits and Vegetables,172.8396,26,Small,Tier 1,Supermarket Type1,2616.594
NC,9.1,Low Fat,0.055382616,others,115.0518,36,High,Tier 3,Supermarket Type1,683.1108
FD,8.42,Regular,0.030693309,others,228.0352,38,Medium,Tier 3,Supermarket Type3,10306.584
FD,8.1,Regular,0.133673087,others,41.548,38,Medium,Tier 3,Supermarket Type3,918.804
NC,12.35,Low Fat,0.041737627,others,33.1216,26,Small,Tier 1,Supermarket Type1,519.324
NC,16.35,Low Fat,0.017062427,others,98.141,14,Medium,Tier 3,Supermarket Type2,1544.656
FD,13.35,Regular,0.149669322,snacks_breakfast_type,180.266,21,not_mentioned,Tier 2,Supermarket Type1,898.83
NC,17.0,Low Fat,0.126440335,others,125.2362,24,Medium,Tier 1,Supermarket Type1,1384.1982
FD,12.35,Low Fat,0.026676216,others,57.0246,19,Small,Tier 2,Supermarket Type1,1737.738
FD,12.1,Low Fat,0.030250132,others,75.267,14,Medium,Tier 3,Supermarket Type2,612.536
FD,17.75,Low Fat,0.076389281,Baking Goods,111.1544,16,not_mentioned,Tier 2,Supermarket Type1,1118.544
FD,5.15,Regular,0.061165512,Meat,125.6388,19,Small,Tier 2,Supermarket Type1,2848.2924
FD,13.6,Low Fat,0.117537563,snacks_breakfast_type,195.4136,36,High,Tier 3,Supermarket Type1,5443.5808
FD,19.35,Regular,0.018667601,snacks_breakfast_type,112.9544,16,not_mentioned,Tier 2,Supermarket Type1,2908.2144
FD,20.25,Regular,0.011937183,others,184.7924,38,Medium,Tier 3,Supermarket Type3,4442.2176
FD,6.36,Low Fat,0.120788077,Fruits and Vegetables,45.706,21,not_mentioned,Tier 2,Supermarket Type1,838.908
DR,10.5,Low Fat,0.019046089,Drinks,188.424,19,Small,Tier 2,Supermarket Type1,2237.088
FD,9.3,Low Fat,0.174317307,snacks_breakfast_type,106.7964,19,Small,Tier 2,Supermarket Type1,841.5712
DR,9.395,Regular,0.109075742,Drinks,42.9112,19,Small,Tier 2,Supermarket Type1,426.112
FD,20.25,Regular,0.018805105,Fruits and Vegetables,220.6772,26,Small,Tier 1,Supermarket Type1,2223.772
FD,16.6,Low Fat,0.0,others,117.3124,36,High,Tier 3,Supermarket Type1,2014.7108
FD,12.3,Regular,0.064618976,Starchy Foods,89.8804,26,Small,Tier 1,Supermarket Type1,1286.3256
FD,12.85,Low Fat,0.033314389,snacks_breakfast_type,171.6422,14,Medium,Tier 3,Supermarket Type2,3276.4018
FD,9.8,Regular,0.072990979,snacks_breakfast_type,121.6098,24,Medium,Tier 1,Supermarket Type1,1566.6274
FD,15.85,Regular,0.106971167,Meat,44.7744,38,Small,Tier 1,Grocery Store,135.8232
FD,15.6,Low Fat,0.037505332,snacks_breakfast_type,126.2704,38,Medium,Tier 3,Supermarket Type3,4255.7936
NC,17.0,Low Fat,0.126220187,others,126.7362,19,Small,Tier 2,Supermarket Type1,1258.362
FD,7.315,Low Fat,0.015364173,snacks_breakfast_type,154.334,14,Medium,Tier 3,Supermarket Type2,4287.752
FD,14.3,Regular,0.083147702,Meat,210.1586,25,not_mentioned,Tier 3,Grocery Store,422.1172
FD,18.25,Low Fat,0.0793795,Frozen Foods,226.1062,21,not_mentioned,Tier 2,Supermarket Type1,6771.186
NC,12.8,Low Fat,0.159394437,others,105.6938,38,Small,Tier 1,Grocery Store,214.3876
FD,11.65,Regular,0.076002991,snacks_breakfast_type,83.4908,21,not_mentioned,Tier 2,Supermarket Type1,503.3448
FD,7.84,Regular,0.154120252,others,51.935,14,Medium,Tier 3,Supermarket Type2,199.74
FD,18.6,Low Fat,0.015769693,snacks_breakfast_type,152.1366,26,Small,Tier 1,Supermarket Type1,1813.6392
FD,18.7,Low Fat,0.026450779,Baking Goods,124.902,16,not_mentioned,Tier 2,Supermarket Type1,2909.546
FD,6.825,Regular,0.046625941,others,154.9998,19,Small,Tier 2,Supermarket Type1,3075.996
FD,13.35,Low Fat,0.032180494,Meat,61.2194,26,Small,Tier 1,Supermarket Type1,433.4358
FD,20.1,Regular,0.022460102,Fruits and Vegetables,226.8036,24,Medium,Tier 1,Supermarket Type1,3415.554
FD,13.35,Low Fat,0.0,snacks_breakfast_type,238.7564,14,Medium,Tier 3,Supermarket Type2,1906.8512
NC,14.65,Low Fat,0.011180713,others,53.8614,36,High,Tier 3,Supermarket Type1,221.0456
FD,7.89,Regular,0.094109236,snacks_breakfast_type,102.9332,38,Medium,Tier 3,Supermarket Type3,3691.1952
