Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FD,6.42,Low Fat,0.089498926,Dairy,178.1002,25,not_mentioned,Tier 3,Grocery Store,358.2004
NC,19.6,Low Fat,0.0,others,153.3024,21,not_mentioned,Tier 2,Supermarket Type1,2428.8384
FD,10.0,Low Fat,0.025879577,others,265.2226,21,not_mentioned,Tier 2,Supermarket Type1,5815.0972
FD,15.85,Regular,0.121632721,Baking Goods,60.622,26,Small,Tier 1,Supermarket Type1,2576.646
FD,10.2,Regular,0.255394896,Dairy,196.8794,38,Small,Tier 1,Grocery Store,780.3176
NC,7.39,Low Fat,0.067779712,others,143.8812,26,Small,Tier 1,Supermarket Type1,3134.5864
FD,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,36,High,Tier 3,Supermarket Type1,850.8924
FD,9.895,Regular,0.028696932,others,117.0492,36,High,Tier 3,Supermarket Type1,810.9444
FD,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,16,not_mentioned,Tier 2,Supermarket Type1,3121.2704
NC,12.15,Low Fat,0.028760013,others,151.4708,16,not_mentioned,Tier 2,Supermarket Type1,4815.0656
FD,7.905,Low Fat,0.010053105,snacks_breakfast_type,249.0408,14,Medium,Tier 3,Supermarket Type2,6258.52
NC,9.195,Low Fat,0.048157338,others,106.1622,21,not_mentioned,Tier 2,Supermarket Type1,2117.244
DR,8.365,Low Fat,0.071958197,Drinks,38.0506,24,Medium,Tier 1,Supermarket Type1,796.9626
FD,15.1,Low Fat,0.173481304,snacks_breakfast_type,194.511,26,Small,Tier 1,Supermarket Type1,4910.275
FD,5.94,Low Fat,0.061082177,others,180.0344,38,Small,Tier 1,Grocery Store,892.172
FD,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,14,Medium,Tier 3,Supermarket Type2,3185.1872
FD,7.97,Regular,0.040071131,Meat,87.3514,21,not_mentioned,Tier 2,Supermarket Type1,1062.6168
FD,6.21,Low Fat,0.012090074,Fruits and Vegetables,38.2848,38,Medium,Tier 3,Supermarket Type3,484.7024
FD,15.5,Regular,0.15028599,Frozen Foods,51.0692,38,Small,Tier 1,Grocery Store,147.8076
FD,17.5,Low Fat,0.026015519,snacks_breakfast_type,255.8356,38,Medium,Tier 3,Supermarket Type3,2543.356
FD,17.7,Low Fat,0.195068226,snacks_breakfast_type,185.4266,25,not_mentioned,Tier 3,Grocery Store,184.4266
FD,19.35,Low Fat,0.033082215,Meat,172.5738,19,Small,Tier 2,Supermarket Type1,4865.6664
FD,13.65,Regular,0.078946455,Dairy,186.024,21,not_mentioned,Tier 2,Supermarket Type1,1118.544
DR,17.6,Low Fat,0.041700756,Drinks,164.8526,21,not_mentioned,Tier 2,Supermarket Type1,2302.3364
NC,8.645,Low Fat,0.143422643,others,95.841,26,Small,Tier 1,Supermarket Type1,2027.361
FD,15.6,Regular,0.105296072,snacks_breakfast_type,170.1764,26,Small,Tier 1,Supermarket Type1,3435.528
FD,15.85,Regular,0.121531501,Baking Goods,59.222,36,High,Tier 3,Supermarket Type1,599.22
FD,18.25,Low Fat,0.0,Starchy Foods,164.7526,21,not_mentioned,Tier 2,Supermarket Type1,4604.6728
FD,7.855,Low Fat,0.011324862,others,189.6188,16,not_mentioned,Tier 2,Supermarket Type1,2285.0256
NC,7.825,Low Fat,0.186357148,others,254.3698,24,Medium,Tier 1,Supermarket Type1,5580.7356
FD,8.39,Regular,0.024205661,Frozen Foods,114.0176,26,Small,Tier 1,Supermarket Type1,2290.352
FD,12.85,Low Fat,0.033230816,snacks_breakfast_type,172.3422,24,Medium,Tier 1,Supermarket Type1,1207.0954
FD,13.35,Low Fat,0.113720344,Baking Goods,89.9804,38,Small,Tier 1,Grocery Store,643.1628
FD,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,16,not_mentioned,Tier 2,Supermarket Type1,1587.933
FD,5.905,Low Fat,0.0,others,222.5456,21,not_mentioned,Tier 2,Supermarket Type1,5305.0944
FD,7.76,Low Fat,0.059352241,snacks_breakfast_type,101.87,26,Small,Tier 1,Supermarket Type1,1697.79
FD,11.8,Regular,0.014087057,Frozen Foods,180.3344,26,Small,Tier 1,Supermarket Type1,1427.4752
FD,16.75,Low Fat,0.045230944,snacks_breakfast_type,187.9556,14,Medium,Tier 3,Supermarket Type2,4693.89
NC,18.85,Low Fat,0.293417759,others,194.6136,38,Small,Tier 1,Grocery Store,583.2408
FD,12.6,Regular,0.031382044,Baking Goods,171.3764,38,Medium,Tier 3,Supermarket Type3,3091.9752
FD,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,16,not_mentioned,Tier 2,Supermarket Type1,2479.4392
FD,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,19,Small,Tier 2,Supermarket Type1,2716.464
FD,20.2,Regular,0.039057677,snacks_breakfast_type,155.963,38,Medium,Tier 3,Supermarket Type3,3285.723
FD,6.305,Regular,0.123115764,snacks_breakfast_type,95.6436,26,Small,Tier 1,Supermarket Type1,661.8052
FD,20.85,Low Fat,0.039624006,Meat,117.2808,24,Medium,Tier 1,Supermarket Type1,1523.3504
FD,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,25,not_mentioned,Tier 3,Grocery Store,369.519
DR,8.895,Low Fat,0.105274111,Dairy,39.9138,24,Medium,Tier 1,Supermarket Type1,690.4346
DR,19.6,Low Fat,0.033970195,Drinks,55.1614,21,not_mentioned,Tier 2,Supermarket Type1,1381.535
FD,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,19,Small,Tier 2,Supermarket Type1,622.523
NC,9.8,Low Fat,0.024378706,others,114.5492,19,Small,Tier 2,Supermarket Type1,1274.3412
FD,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,38,Small,Tier 1,Grocery Store,487.3656
FD,12.15,Low Fat,0.131383762,Frozen Foods,246.046,24,Medium,Tier 1,Supermarket Type1,1231.73
FD,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,19,Small,Tier 2,Supermarket Type1,3755.112
NC,12.15,Low Fat,0.028459761,others,149.9708,38,Medium,Tier 3,Supermarket Type3,4363.6532
FD,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,26,Small,Tier 1,Supermarket Type1,1314.2892
FD,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,21,not_mentioned,Tier 2,Supermarket Type1,1805.6496
FD,20.6,Regular,0.045797829,snacks_breakfast_type,178.5344,38,Medium,Tier 3,Supermarket Type3,2854.9504
FD,8.31,Regular,0.115857223,snacks_breakfast_type,179.1028,24,Medium,Tier 1,Supermarket Type1,3896.2616
DR,16.75,Regular,0.024832806,Drinks,38.7822,36,High,Tier 3,Supermarket Type1,667.7974
FD,19.75,Low Fat,0.034027909,snacks_breakfast_type,212.0902,14,Medium,Tier 3,Supermarket Type2,3185.853
FD,17.1,Regular,0.0467696,others,141.1838,36,High,Tier 3,Supermarket Type1,2247.7408
FD,10.5,Regular,0.116576702,Baking Goods,163.121,36,High,Tier 3,Supermarket Type1,1794.331
FD,6.635,Regular,0.0,Baking Goods,121.3098,21,not_mentioned,Tier 2,Supermarket Type1,2530.7058
DR,9.39,Low Fat,0.278974075,Drinks,225.372,38,Small,Tier 1,Grocery Store,679.116
DR,14.15,Low Fat,0.035913805,Drinks,41.4138,36,High,Tier 3,Supermarket Type1,812.276
FD,13.3,Low Fat,0.079806266,Dairy,232.53,26,Small,Tier 1,Supermarket Type1,699.09
FD,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,16,not_mentioned,Tier 2,Supermarket Type1,2732.4432
FD,6.69,Regular,0.064625342,Meat,176.937,38,Small,Tier 1,Grocery Store,176.437
FD,6.2,Low Fat,0.071636937,snacks_breakfast_type,121.7098,38,Medium,Tier 3,Supermarket Type3,4097.3332
FD,9.1,Regular,0.0,snacks_breakfast_type,173.2054,21,not_mentioned,Tier 2,Supermarket Type1,3151.8972
FD,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,24,Medium,Tier 1,Supermarket Type1,5942.265
FD,16.85,Regular,0.160760054,Frozen Foods,192.4478,16,not_mentioned,Tier 2,Supermarket Type1,4843.695
FD,7.485,Low Fat,0.06911065,snacks_breakfast_type,109.0228,19,Small,Tier 2,Supermarket Type1,2542.0244
DR,11.6,Low Fat,0.041177505,Drinks,140.3154,16,not_mentioned,Tier 2,Supermarket Type1,2552.6772
FD,11.65,Low Fat,0.040081193,snacks_breakfast_type,227.0694,14,Medium,Tier 3,Supermarket Type2,1141.847
NC,13.0,Low Fat,0.035307322,others,47.5034,16,not_mentioned,Tier 2,Supermarket Type1,680.4476
DR,12.65,Low Fat,0.063017847,Drinks,159.0578,21,not_mentioned,Tier 2,Supermarket Type1,2085.9514
FD,20.25,Regular,0.171938781,others,92.512,25,not_mentioned,Tier 3,Grocery Store,186.424
FD,8.6,Regular,0.040197932,others,190.153,19,Small,Tier 2,Supermarket Type1,3036.048
FD,12.6,Low Fat,0.049058014,snacks_breakfast_type,62.7194,16,not_mentioned,Tier 2,Supermarket Type1,866.8716
FD,17.7,Low Fat,0.01161096,Frozen Foods,95.041,19,Small,Tier 2,Supermarket Type1,868.869
DR,14.15,Low Fat,0.183507295,Drinks,82.4276,26,Small,Tier 1,Supermarket Type1,1137.1864
FD,19.25,Low Fat,0.102349519,Dairy,52.7956,16,not_mentioned,Tier 2,Supermarket Type1,928.1252
DR,8.88,Low Fat,0.086708987,Drinks,151.7682,36,High,Tier 3,Supermarket Type1,762.341
NC,20.5,Low Fat,0.032835147,others,40.2822,21,not_mentioned,Tier 2,Supermarket Type1,707.0796
FD,12.0,Low Fat,0.033809913,others,180.5976,38,Medium,Tier 3,Supermarket Type3,7968.2944
NC,13.5,Low Fat,0.07266912,others,160.292,26,Small,Tier 1,Supermarket Type1,1438.128
NC,12.15,Low Fat,0.144338493,others,224.4404,38,Medium,Tier 3,Supermarket Type3,6976.2524
FD,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,25,not_mentioned,Tier 3,Grocery Store,101.2016
FD,7.855,Low Fat,0.011307038,others,188.5188,14,Medium,Tier 3,Supermarket Type2,952.094
NC,7.235,Low Fat,0.076855628,others,116.0492,26,Small,Tier 1,Supermarket Type1,1969.4364
FD,18.25,Low Fat,0.059956876,Starchy Foods,165.4526,38,Medium,Tier 3,Supermarket Type3,5262.4832
FD,6.92,Low Fat,0.038532062,Dairy,60.5852,21,not_mentioned,Tier 2,Supermarket Type1,1314.2892
FD,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,16,not_mentioned,Tier 2,Supermarket Type1,535.3032
NC,18.5,Low Fat,0.056816465,others,132.1284,25,not_mentioned,Tier 3,Grocery Store,263.6568
NC,8.02,Low Fat,0.019866705,others,154.5972,19,Small,Tier 2,Supermarket Type1,1402.1748
NC,9.195,Low Fat,0.048331717,others,105.1622,16,not_mentioned,Tier 2,Supermarket Type1,1693.7952
NC,12.8,Low Fat,0.091221855,others,105.5938,21,not_mentioned,Tier 2,Supermarket Type1,2143.876
NC,16.6,Low Fat,0.027622076,others,177.6344,24,Medium,Tier 1,Supermarket Type1,2676.516
FD,14.0,Regular,0.0,Frozen Foods,53.064,19,Small,Tier 2,Supermarket Type1,905.488
FD,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,24,Medium,Tier 1,Supermarket Type1,7370.406
FD,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,19,Small,Tier 2,Supermarket Type1,6301.1312
NC,17.6,Low Fat,0.082316506,others,160.692,19,Small,Tier 2,Supermarket Type1,1597.92
FD,21.25,Low Fat,0.155350299,snacks_breakfast_type,178.237,19,Small,Tier 2,Supermarket Type1,529.311
NC,7.235,Low Fat,0.076841095,others,117.5492,19,Small,Tier 2,Supermarket Type1,1969.4364
DR,14.6,Low Fat,0.151419185,Drinks,50.3692,16,not_mentioned,Tier 2,Supermarket Type1,1034.6532
FD,13.85,Regular,0.026001976,Frozen Foods,161.521,14,Medium,Tier 3,Supermarket Type2,1794.331
FD,13.65,Regular,0.073209447,Frozen Foods,197.6426,14,Medium,Tier 3,Supermarket Type2,2768.3964
DR,9.5,Low Fat,0.041683481,Drinks,31.29,38,Medium,Tier 3,Supermarket Type3,898.83
FD,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,26,Small,Tier 1,Supermarket Type1,3169.208
NC,18.35,Low Fat,0.014081156,others,223.5746,14,Medium,Tier 3,Supermarket Type2,3589.9936
FD,5.465,Regular,0.0,Baking Goods,132.5626,14,Medium,Tier 3,Supermarket Type2,262.3252
FD,18.6,Low Fat,0.152918384,snacks_breakfast_type,99.8358,16,not_mentioned,Tier 2,Supermarket Type1,1910.1802
DR,13.85,Low Fat,0.030969274,Drinks,140.9154,16,not_mentioned,Tier 2,Supermarket Type1,1701.7848
FD,14.0,Regular,0.060376776,Frozen Foods,154.5656,36,High,Tier 3,Supermarket Type1,2471.4496
FD,14.0,Regular,0.04192285,snacks_breakfast_type,54.764,36,High,Tier 3,Supermarket Type1,1331.6
FD,21.35,Low Fat,0.077367431,Fruits and Vegetables,97.0094,38,Medium,Tier 3,Supermarket Type3,1808.9786
FD,5.905,Low Fat,0.045838211,others,222.5456,14,Medium,Tier 3,Supermarket Type2,3315.684
DR,7.27,Low Fat,0.071077939,Drinks,114.2518,26,Small,Tier 1,Supermarket Type1,2618.5914
FD,6.155,Regular,0.094659871,Meat,214.556,26,Small,Tier 1,Supermarket Type1,2769.728
DR,19.5,Regular,0.077608838,Drinks,233.4958,16,not_mentioned,Tier 2,Supermarket Type1,5375.0034
FD,15.2,Low Fat,0.021327477,others,216.8824,16,not_mentioned,Tier 2,Supermarket Type1,2838.9712
FD,12.15,Regular,0.042485444,others,125.0046,14,Medium,Tier 3,Supermarket Type2,1743.0644
NC,14.6,Low Fat,0.025578526,others,198.8084,38,Medium,Tier 3,Supermarket Type3,5555.4352
FD,12.6,Low Fat,0.0489808,snacks_breakfast_type,61.9194,14,Medium,Tier 3,Supermarket Type2,619.194
NC,14.5,Low Fat,0.019471688,others,164.821,19,Small,Tier 2,Supermarket Type1,2120.573
FD,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,16,not_mentioned,Tier 2,Supermarket Type1,3823.0236
FD,11.8,Regular,0.057373797,Meat,151.4366,36,High,Tier 3,Supermarket Type1,1360.2294
FD,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,36,High,Tier 3,Supermarket Type1,3969.4996
FD,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,25,not_mentioned,Tier 3,Grocery Store,345.5502
FD,17.85,Low Fat,0.0,snacks_breakfast_type,196.5794,25,not_mentioned,Tier 3,Grocery Store,585.2382
FD,12.3,Regular,0.064750025,Starchy Foods,92.6804,21,not_mentioned,Tier 2,Supermarket Type1,1010.6844
NC,11.8,Low Fat,0.098312421,others,81.4618,25,not_mentioned,Tier 3,Grocery Store,161.1236
DR,9.39,Regular,0.191013663,Drinks,42.1112,38,Small,Tier 1,Grocery Store,42.6112
FD,11.1,Low Fat,0.176573035,Baking Goods,157.4604,21,not_mentioned,Tier 2,Supermarket Type1,3010.7476
FD,14.0,Regular,0.060134441,Frozen Foods,153.0656,38,Medium,Tier 3,Supermarket Type3,6024.1584
FD,11.3,Low Fat,0.007294652,Meat,198.1426,21,not_mentioned,Tier 2,Supermarket Type1,988.713
NC,10.0,Low Fat,0.128478462,others,117.944,38,Small,Tier 1,Grocery Store,239.688
FD,5.75,Regular,0.075107656,Dairy,112.8176,36,High,Tier 3,Supermarket Type1,1374.2112
FD,6.21,Regular,0.049381406,Baking Goods,226.8062,38,Medium,Tier 3,Supermarket Type3,4739.8302
FD,11.35,Regular,0.045165796,snacks_breakfast_type,100.0016,14,Medium,Tier 3,Supermarket Type2,1012.016
FD,11.1,Regular,0.09415375,Fruits and Vegetables,165.7526,38,Small,Tier 1,Grocery Store,657.8104
NC,14.0,Low Fat,0.028907832,others,130.431,24,Medium,Tier 1,Supermarket Type1,778.986
FD,19.75,Regular,0.018059621,Frozen Foods,179.766,21,not_mentioned,Tier 2,Supermarket Type1,2336.958
NC,6.525,Low Fat,0.090436094,others,85.0882,24,Medium,Tier 1,Supermarket Type1,2233.0932
FD,10.3,Low Fat,0.146399712,Meat,103.9648,24,Medium,Tier 1,Supermarket Type1,1661.8368
FD,5.78,Regular,0.074264356,snacks_breakfast_type,264.7568,24,Medium,Tier 1,Supermarket Type1,4745.8224
FD,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,21,not_mentioned,Tier 2,Supermarket Type1,3124.5994
FD,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,14,Medium,Tier 3,Supermarket Type2,467.3916
NC,17.6,Low Fat,0.01561108,others,182.5976,38,Medium,Tier 3,Supermarket Type3,5070.7328
FD,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,26,Small,Tier 1,Supermarket Type1,540.6296
FD,19.0,Regular,0.097313129,Frozen Foods,48.0718,26,Small,Tier 1,Supermarket Type1,992.7078
NC,14.6,Low Fat,0.059582996,others,238.8538,24,Medium,Tier 1,Supermarket Type1,6008.845
FD,15.6,Regular,0.098663652,Dairy,62.9194,38,Medium,Tier 3,Supermarket Type3,2105.2596
FD,4.62,Regular,0.101338651,others,232.63,38,Medium,Tier 3,Supermarket Type3,5359.69
NC,18.75,Low Fat,0.052146456,others,104.628,21,not_mentioned,Tier 2,Supermarket Type1,745.696
FD,5.26,Regular,0.041764487,Baking Goods,161.8868,19,Small,Tier 2,Supermarket Type1,3275.736
FD,18.25,Low Fat,0.054344186,snacks_breakfast_type,140.2154,21,not_mentioned,Tier 2,Supermarket Type1,1701.7848
FD,10.3,Low Fat,0.078362484,Baking Goods,177.937,38,Medium,Tier 3,Supermarket Type3,6704.606
FD,15.1,Low Fat,0.052339069,Meat,242.7512,26,Small,Tier 1,Supermarket Type1,4119.9704
FD,15.5,Regular,0.042464962,Baking Goods,81.5934,25,not_mentioned,Tier 3,Grocery Store,327.5736
FD,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,24,Medium,Tier 1,Supermarket Type1,780.9834
DR,16.1,Low Fat,0.023625114,Drinks,189.3846,21,not_mentioned,Tier 2,Supermarket Type1,3630.6074
FD,5.17,Regular,0.051643608,snacks_breakfast_type,107.3622,38,Small,Tier 1,Grocery Store,317.5866
FD,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,25,not_mentioned,Tier 3,Grocery Store,231.6984
DR,9.5,Low Fat,0.041878397,Drinks,32.99,19,Small,Tier 2,Supermarket Type1,133.16
DR,13.8,Low Fat,0.058091482,Dairy,245.1802,19,Small,Tier 2,Supermarket Type1,5650.6446
FD,5.78,Regular,0.0,snacks_breakfast_type,263.7568,16,not_mentioned,Tier 2,Supermarket Type1,2636.568
NC,19.7,Low Fat,0.026903714,others,96.0726,21,not_mentioned,Tier 2,Supermarket Type1,1272.3438
NC,14.65,Low Fat,0.0,others,161.5552,25,not_mentioned,Tier 3,Grocery Store,324.9104
FD,6.67,Regular,0.150554711,snacks_breakfast_type,130.0626,25,not_mentioned,Tier 3,Grocery Store,131.1626
FD,6.11,Regular,0.0,Fruits and Vegetables,131.2968,25,not_mentioned,Tier 3,Grocery Store,260.9936
FD,13.65,Regular,0.134975628,Frozen Foods,260.0936,25,not_mentioned,Tier 3,Grocery Store,260.9936
FD,17.2,Low Fat,0.15616879,Meat,160.6578,36,High,Tier 3,Supermarket Type1,3690.5294
FD,6.32,Low Fat,0.0,Meat,40.2822,19,Small,Tier 2,Supermarket Type1,1139.1838
FD,4.88,Regular,0.133700752,Baking Goods,52.9298,24,Medium,Tier 1,Supermarket Type1,1995.4026
FD,5.425,Regular,0.115119905,Baking Goods,88.3514,16,not_mentioned,Tier 2,Supermarket Type1,1416.8224
FD,15.85,Regular,0.110030997,Frozen Foods,37.2506,26,Small,Tier 1,Supermarket Type1,265.6542
FD,7.5,Low Fat,0.051038045,others,121.7072,16,not_mentioned,Tier 2,Supermarket Type1,3552.7088
DR,12.65,Low Fat,0.062837968,Drinks,161.5578,36,High,Tier 3,Supermarket Type1,2406.867
NC,9.06,Low Fat,0.017116983,others,211.956,38,Small,Tier 1,Grocery Store,213.056
FD,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,36,High,Tier 3,Supermarket Type1,2956.152
DR,8.93,Low Fat,0.049754975,Dairy,152.134,38,Small,Tier 1,Grocery Store,153.134
FD,9.0,Low Fat,0.0,others,79.7644,19,Small,Tier 2,Supermarket Type1,1649.8524
FD,16.7,Low Fat,0.101561568,others,181.9292,38,Medium,Tier 3,Supermarket Type3,3101.2964
NC,6.36,Low Fat,0.005949644,others,165.6526,38,Medium,Tier 3,Supermarket Type3,4769.1254
FD,5.37,Regular,0.13956116,others,170.4764,38,Medium,Tier 3,Supermarket Type3,3435.528
FD,14.1,Low Fat,0.126035694,Fruits and Vegetables,86.4198,21,not_mentioned,Tier 2,Supermarket Type1,1133.8574
FD,7.55,Low Fat,0.027164679,others,152.334,19,Small,Tier 2,Supermarket Type1,2603.278
NC,13.0,Low Fat,0.099325278,others,45.406,26,Small,Tier 1,Supermarket Type1,605.878
DR,9.3,Low Fat,0.04357366,Drinks,192.8846,38,Medium,Tier 3,Supermarket Type3,2293.0152
FD,17.6,Regular,0.082741482,snacks_breakfast_type,118.7782,38,Small,Tier 1,Grocery Store,119.1782
FD,12.3,Regular,0.064565202,Starchy Foods,92.9804,36,High,Tier 3,Supermarket Type1,1929.4884
FD,7.05,Low Fat,0.084554569,snacks_breakfast_type,109.8912,38,Medium,Tier 3,Supermarket Type3,2074.6328
NC,11.8,Low Fat,0.058451805,others,79.9618,38,Medium,Tier 3,Supermarket Type3,241.6854
NC,17.25,Low Fat,0.113748685,others,251.3724,21,not_mentioned,Tier 2,Supermarket Type1,6795.1548
NC,15.85,Low Fat,0.020603511,others,42.7112,16,not_mentioned,Tier 2,Supermarket Type1,639.168
NC,18.85,Low Fat,0.052044976,others,192.1846,19,Small,Tier 2,Supermarket Type1,3248.4382
FD,16.35,Regular,0.062764429,Fruits and Vegetables,227.6062,16,not_mentioned,Tier 2,Supermarket Type1,7222.5984
DR,14.1,Low Fat,0.087977262,Dairy,229.0668,19,Small,Tier 2,Supermarket Type1,3225.1352
FD,7.905,Low Fat,0.010010425,snacks_breakfast_type,249.0408,19,Small,Tier 2,Supermarket Type1,3755.112
FD,12.0,Low Fat,0.033946163,others,179.3976,36,High,Tier 3,Supermarket Type1,3440.8544
