Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type
NC,12.5,Low Fat,0.006792707,others,42.4112,14,Medium,Tier 3,Supermarket Type2
FD,10.5,Regular,0.024870035,Fruits and Vegetables,217.7508,38,Medium,Tier 3,Supermarket Type3
FD,5.78,Low Fat,0.096931426,snacks_breakfast_type,164.2552,16,,Tier 2,Supermarket Type1
FD,15.7,Regular,0.008693632,Meat,205.098,38,Medium,Tier 3,Supermarket Type3
FD,9.0,Low Fat,0.078961284,others,80.3644,38,Medium,Tier 3,Supermarket Type3
FD,10.395,Low Fat,0.050479463,Baking Goods,114.0176,25,,Tier 3,Grocery Store
NC,18.35,Low Fat,0.089485918,others,192.1504,16,,Tier 2,Supermarket Type1
NC,8.85,Low Fat,0.01594238,others,103.3964,38,Medium,Tier 3,Supermarket Type3
NC,21.1,Low Fat,0.029127115,others,143.3786,14,Medium,Tier 3,Supermarket Type2
FD,19.75,Low Fat,0.069236421,Fruits and Vegetables,116.6466,25,,Tier 3,Grocery Store
NC,8.43,Low Fat,0.178699961,others,173.9422,16,,Tier 2,Supermarket Type1
NC,15.35,Low Fat,0.015740089,others,144.847,14,Medium,Tier 3,Supermarket Type2
FD,6.71,Low Fat,0.059565107,snacks_breakfast_type,217.2166,25,,Tier 3,Grocery Store
FD,10.195,Low Fat,0.126277921,others,112.1886,36,High,Tier 3,Supermarket Type1
FD,11.65,Low Fat,0.291322397,Dairy,55.8298,25,,Tier 3,Grocery Store
NC,12.85,Low Fat,0.053433908,others,183.2608,19,Small,Tier 2,Supermarket Type1
FD,12.15,Low Fat,0.131155007,Frozen Foods,248.146,19,Small,Tier 2,Supermarket Type1
FD,18.25,Low Fat,0.075194929,snacks_breakfast_type,124.9046,26,Small,Tier 1,Supermarket Type1
DR,5.98,Low Fat,0.075557965,Drinks,57.0614,26,Small,Tier 1,Supermarket Type1
FD,12.65,Low Fat,0.122928415,Meat,106.6938,36,High,Tier 3,Supermarket Type1
FD,13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,16,,Tier 2,Supermarket Type1
FD,20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,16,,Tier 2,Supermarket Type1
FD,8.37,Regular,0.039651481,Fruits and Vegetables,188.7188,38,Medium,Tier 3,Supermarket Type3
FD,7.855,Low Fat,0.011278673,others,188.8188,24,Medium,Tier 1,Supermarket Type1
FD,13.35,Regular,0.0,snacks_breakfast_type,179.666,36,High,Tier 3,Supermarket Type1
FD,17.25,Low Fat,0.106952661,Frozen Foods,38.3822,36,High,Tier 3,Supermarket Type1
FD,,Regular,0.129825457,snacks_breakfast_type,263.2568,38,Small,Tier 1,Grocery Store
FD,10.395,Regular,0.029947409,Dairy,90.1514,21,,Tier 2,Supermarket Type1
FD,8.315,Regular,0.035565457,Baking Goods,144.8444,19,Small,Tier 2,Supermarket Type1
FD,20.7,Regular,0.047760002,Dairy,214.9876,16,,Tier 2,Supermarket Type1
NC,6.38,Low Fat,0.015089147,others,141.347,38,Medium,Tier 3,Supermarket Type3
FD,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,16,,Tier 2,Supermarket Type1
FD,5.88,Low Fat,0.086632125,Frozen Foods,152.6998,21,,Tier 2,Supermarket Type1
FD,12.3,Regular,0.064306056,Starchy Foods,90.3804,38,Medium,Tier 3,Supermarket Type3
FD,7.435,Low Fat,0.08493006,Starchy Foods,165.8158,16,,Tier 2,Supermarket Type1
NC,14.65,Low Fat,0.072066634,others,262.5594,26,Small,Tier 1,Supermarket Type1
FD,14.0,Low Fat,0.041256807,Starchy Foods,181.2634,36,High,Tier 3,Supermarket Type1
NC,18.2,Low Fat,0.058587558,others,221.6456,21,,Tier 2,Supermarket Type1
NC,17.6,Low Fat,0.015711434,others,180.0976,24,Medium,Tier 1,Supermarket Type1
FD,15.5,Low Fat,0.032714163,Baking Goods,108.1938,38,Medium,Tier 3,Supermarket Type3
FD,7.71,Regular,0.047782552,Dairy,122.3756,14,Medium,Tier 3,Supermarket Type2
DR,7.81,Low Fat,0.067560171,Drinks,245.2486,24,Medium,Tier 1,Supermarket Type1
NC,16.35,Low Fat,0.029505077,others,256.2646,21,,Tier 2,Supermarket Type1
DR,13.0,Regular,0.045076104,Drinks,173.7054,21,,Tier 2,Supermarket Type1
FD,11.5,Low Fat,0.299544153,snacks_breakfast_type,124.8704,38,Small,Tier 1,Grocery Store
FD,13.35,Low Fat,0.139452413,Frozen Foods,148.6392,26,Small,Tier 1,Supermarket Type1
DR,15.75,Low Fat,0.246178257,Drinks,252.4382,38,Small,Tier 1,Grocery Store
FD,16.1,Low Fat,0.065128984,Dairy,145.176,36,High,Tier 3,Supermarket Type1
DR,17.85,Low Fat,0.024816585,Drinks,152.6998,19,Small,Tier 2,Supermarket Type1
FD,5.34,Regular,0.005988175,snacks_breakfast_type,100.6358,14,Medium,Tier 3,Supermarket Type2
NC,5.51,Low Fat,0.034473804,others,97.3726,26,Small,Tier 1,Supermarket Type1
FD,6.61,Regular,0.028987582,snacks_breakfast_type,188.6898,36,High,Tier 3,Supermarket Type1
FD,6.38,Low Fat,0.032078604,Dairy,177.6344,16,,Tier 2,Supermarket Type1
FD,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,19,Small,Tier 2,Supermarket Type1
FD,13.65,Low Fat,0.015911432,snacks_breakfast_type,230.5668,26,Small,Tier 1,Supermarket Type1
FD,19.2,Regular,0.005588601,Starchy Foods,225.5062,26,Small,Tier 1,Supermarket Type1
FD,8.71,Low Fat,0.139510771,others,46.2376,21,,Tier 2,Supermarket Type1
FD,17.75,Regular,0.262504325,Dairy,242.2538,25,,Tier 3,Grocery Store
FD,19.35,Regular,0.0,Meat,165.7816,21,,Tier 2,Supermarket Type1
FD,16.0,Low Fat,0.056783774,Dairy,223.1404,38,Medium,Tier 3,Supermarket Type3
FD,19.7,Low Fat,0.041536279,Frozen Foods,107.7912,38,Medium,Tier 3,Supermarket Type3
FD,6.44,Low Fat,0.079538056,snacks_breakfast_type,99.47,14,Medium,Tier 3,Supermarket Type2
NC,12.6,Low Fat,0.064057374,others,122.1414,36,High,Tier 3,Supermarket Type1
FD,7.935,Low Fat,0.017156262,Dairy,48.135,26,Small,Tier 1,Supermarket Type1
FD,18.25,Low Fat,0.054540968,snacks_breakfast_type,140.4154,16,,Tier 2,Supermarket Type1
FD,18.5,Regular,0.045648973,Dairy,145.6102,14,Medium,Tier 3,Supermarket Type2
FD,6.035,Regular,0.065917194,Baking Goods,185.724,21,,Tier 2,Supermarket Type1
NC,11.8,Low Fat,0.058687359,others,81.1618,36,High,Tier 3,Supermarket Type1
FD,6.26,Regular,0.009908113,Meat,151.1366,14,Medium,Tier 3,Supermarket Type2
FD,16.5,Regular,0.094395215,Baking Goods,97.2068,16,,Tier 2,Supermarket Type1
FD,15.7,Regular,0.02777326,others,169.279,16,,Tier 2,Supermarket Type1
FD,6.635,Regular,0.006326106,Baking Goods,122.1098,26,Small,Tier 1,Supermarket Type1
DR,7.39,Low Fat,0.143990546,Drinks,191.553,38,Small,Tier 1,Grocery Store
NC,7.39,Low Fat,0.09233359,others,250.6066,38,Medium,Tier 3,Supermarket Type3
FD,7.72,Low Fat,0.083661793,others,248.6092,38,Small,Tier 1,Grocery Store
FD,14.0,Regular,0.042022999,snacks_breakfast_type,53.064,24,Medium,Tier 1,Supermarket Type1
FD,12.35,Regular,0.072044336,Dairy,48.8692,38,Medium,Tier 3,Supermarket Type3
FD,17.75,Low Fat,0.0,Dairy,249.775,14,Medium,Tier 3,Supermarket Type2
FD,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,25,,Tier 3,Grocery Store
FD,8.155,Low Fat,0.119450639,Meat,190.653,26,Small,Tier 1,Supermarket Type1
FD,17.25,Low Fat,0.121917641,others,76.6986,25,,Tier 3,Grocery Store
FD,9.5,Regular,0.131905128,Frozen Foods,232.0668,38,Medium,Tier 3,Supermarket Type3
FD,6.175,Regular,0.179043614,Meat,95.3752,19,Small,Tier 2,Supermarket Type1
DR,18.35,Low Fat,0.0152302,Drinks,107.0938,38,Medium,Tier 3,Supermarket Type3
FD,8.18,Regular,0.082401592,Frozen Foods,55.9588,26,Small,Tier 1,Supermarket Type1
FD,8.355,Low Fat,0.013917468,Baking Goods,92.5462,36,High,Tier 3,Supermarket Type1
FD,6.905,Regular,0.038140213,Dairy,96.3726,19,Small,Tier 2,Supermarket Type1
FD,20.35,Low Fat,0.054166556,snacks_breakfast_type,116.9466,21,,Tier 2,Supermarket Type1
FD,20.85,Low Fat,0.03229139,Baking Goods,178.766,38,Medium,Tier 3,Supermarket Type3
NC,19.25,Low Fat,0.108641498,others,33.0558,16,,Tier 2,Supermarket Type1
FD,5.48,Low Fat,0.015105338,Frozen Foods,84.625,19,Small,Tier 2,Supermarket Type1
FD,5.425,Regular,0.114650377,Baking Goods,87.3514,24,Medium,Tier 1,Supermarket Type1
FD,12.1,Low Fat,0.115342009,Baking Goods,220.2114,14,Medium,Tier 3,Supermarket Type2
FD,6.04,Regular,0.0,Baking Goods,186.424,38,Medium,Tier 3,Supermarket Type3
FD,11.0,Low Fat,0.00896468,Meat,120.6756,21,,Tier 2,Supermarket Type1
FD,5.765,Low Fat,0.082346376,Baking Goods,38.8164,14,Medium,Tier 3,Supermarket Type2
FD,13.8,Low Fat,0.013318,others,110.1254,14,Medium,Tier 3,Supermarket Type2
FD,13.8,Low Fat,0.01325293,others,108.2254,36,High,Tier 3,Supermarket Type1
FD,5.44,Regular,0.017131453,Baking Goods,177.837,14,Medium,Tier 3,Supermarket Type2
FD,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,36,High,Tier 3,Supermarket Type1
NC,6.13,Low Fat,0.028316137,others,109.3912,19,Small,Tier 2,Supermarket Type1
FD,8.195,Low Fat,0.052562923,Baking Goods,93.9462,25,,Tier 3,Grocery Store
DR,14.15,Low Fat,0.1837926,Drinks,81.3276,24,Medium,Tier 1,Supermarket Type1
FD,13.3,Low Fat,0.111296158,Frozen Foods,151.2708,38,Small,Tier 1,Grocery Store
FD,16.75,Low Fat,0.029860799,snacks_breakfast_type,39.5822,14,Medium,Tier 3,Supermarket Type2
FD,14.3,Low Fat,0.130617879,Baking Goods,76.5328,24,Medium,Tier 1,Supermarket Type1
FD,15.85,Low Fat,0.238990225,others,94.7094,38,Small,Tier 1,Grocery Store
FD,5.635,Low Fat,0.103186396,Baking Goods,151.805,36,High,Tier 3,Supermarket Type1
DR,5.73,Low Fat,0.0,Drinks,188.3898,25,,Tier 3,Grocery Store
FD,7.155,Regular,0.168186376,snacks_breakfast_type,36.5874,26,Small,Tier 1,Supermarket Type1
DR,15.2,Low Fat,0.050255855,Drinks,97.3752,24,Medium,Tier 1,Supermarket Type1
NC,15.25,Low Fat,0.061173235,others,128.5968,19,Small,Tier 2,Supermarket Type1
FD,10.395,Regular,0.029881147,Dairy,89.5514,19,Small,Tier 2,Supermarket Type1
NC,8.76,Low Fat,0.050154219,others,126.9336,21,,Tier 2,Supermarket Type1
NC,9.13,Low Fat,0.051837621,others,152.6024,19,Small,Tier 2,Supermarket Type1
FD,11.1,Low Fat,0.11013617,Fruits and Vegetables,189.7846,38,Medium,Tier 3,Supermarket Type3
NC,19.6,Low Fat,0.024086626,others,106.0964,16,,Tier 2,Supermarket Type1
NC,8.93,Low Fat,0.013115567,others,53.7614,38,Medium,Tier 3,Supermarket Type3
FD,20.35,Low Fat,0.0,snacks_breakfast_type,118.9466,24,Medium,Tier 1,Supermarket Type1
FD,10.0,Low Fat,0.038764258,Fruits and Vegetables,246.2144,21,,Tier 2,Supermarket Type1
NC,11.3,Low Fat,0.07986963,others,180.466,25,,Tier 3,Grocery Store
DR,6.57,Low Fat,0.066057085,Drinks,259.3278,19,Small,Tier 2,Supermarket Type1
NC,13.15,Low Fat,0.093044518,others,158.4604,14,Medium,Tier 3,Supermarket Type2
FD,4.635,Low Fat,0.140771867,snacks_breakfast_type,129.4994,36,High,Tier 3,Supermarket Type1
FD,10.6,Regular,0.033186809,snacks_breakfast_type,49.1008,14,Medium,Tier 3,Supermarket Type2
FD,9.3,Low Fat,0.11139344,snacks_breakfast_type,65.2826,24,Medium,Tier 1,Supermarket Type1
DR,7.02,Low Fat,0.049966527,Dairy,82.525,21,,Tier 2,Supermarket Type1
DR,13.8,Low Fat,0.097212998,Dairy,58.293,24,Medium,Tier 1,Supermarket Type1
FD,7.825,Regular,0.150863781,Frozen Foods,158.0288,16,,Tier 2,Supermarket Type1
NC,19.1,Low Fat,0.091900406,others,182.5608,19,Small,Tier 2,Supermarket Type1
FD,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,36,High,Tier 3,Supermarket Type1
FD,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,26,Small,Tier 1,Supermarket Type1
FD,17.35,Low Fat,0.014714625,Frozen Foods,75.4038,24,Medium,Tier 1,Supermarket Type1
FD,17.75,Low Fat,0.127140836,Baking Goods,110.5544,25,,Tier 3,Grocery Store
FD,20.85,Regular,0.061923154,Baking Goods,87.5514,38,Medium,Tier 3,Supermarket Type3
FD,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,24,Medium,Tier 1,Supermarket Type1
FD,15.15,Low Fat,0.0,Baking Goods,150.4708,21,,Tier 2,Supermarket Type1
FD,5.46,Regular,0.053858378,others,186.924,25,,Tier 3,Grocery Store
FD,9.5,Regular,0.048784266,Starchy Foods,188.5898,21,,Tier 2,Supermarket Type1
NC,13.5,Low Fat,0.073080167,others,161.492,16,,Tier 2,Supermarket Type1
NC,8.275,Low Fat,0.184602443,others,106.5306,25,,Tier 3,Grocery Store
FD,10.8,Regular,0.080582001,Baking Goods,39.4138,25,,Tier 3,Grocery Store
FD,5.635,Low Fat,0.103856487,Baking Goods,151.305,16,,Tier 2,Supermarket Type1
FD,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,14,Medium,Tier 3,Supermarket Type2
FD,9.1,Low Fat,0.173275373,Baking Goods,127.6362,38,Medium,Tier 3,Supermarket Type3
FD,20.35,Low Fat,0.083393481,Meat,180.6292,38,Medium,Tier 3,Supermarket Type3
FD,9.8,Regular,0.0450476,Baking Goods,36.4874,38,Medium,Tier 3,Supermarket Type3
DR,10.8,Low Fat,0.051816577,Drinks,236.4564,38,Medium,Tier 3,Supermarket Type3
FD,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,19,Small,Tier 2,Supermarket Type1
FD,4.905,Low Fat,0.117808305,others,198.5768,14,Medium,Tier 3,Supermarket Type2
FD,9.285,Regular,0.049270974,Frozen Foods,243.9144,19,Small,Tier 2,Supermarket Type1
NC,8.97,Low Fat,0.093540749,others,55.4956,16,,Tier 2,Supermarket Type1
NC,18.75,Low Fat,0.087105823,others,108.228,25,,Tier 3,Grocery Store
NC,8.895,Low Fat,0.0,others,110.9544,24,Medium,Tier 1,Supermarket Type1
FD,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,19,Small,Tier 2,Supermarket Type1
FD,10.195,Regular,0.01761655,Starchy Foods,239.4538,36,High,Tier 3,Supermarket Type1
DR,9.5,Low Fat,0.040898157,Drinks,225.2088,24,Medium,Tier 1,Supermarket Type1
NC,12.1,Low Fat,0.079791176,others,169.5106,19,Small,Tier 2,Supermarket Type1
FD,12.5,Low Fat,0.031049674,Fruits and Vegetables,101.399,26,Small,Tier 1,Supermarket Type1
FD,15.2,Low Fat,0.019112323,snacks_breakfast_type,236.2248,14,Medium,Tier 3,Supermarket Type2
FD,5.635,Low Fat,0.103272336,Baking Goods,151.205,26,Small,Tier 1,Supermarket Type1
FD,8.42,Regular,0.054001526,others,227.8352,38,Small,Tier 1,Grocery Store
FD,8.895,Regular,0.081073148,snacks_breakfast_type,51.2008,19,Small,Tier 2,Supermarket Type1
NC,8.02,Low Fat,0.019774239,others,154.5972,38,Medium,Tier 3,Supermarket Type3
FD,15.1,Regular,0.153038134,Fruits and Vegetables,219.0456,38,Small,Tier 1,Grocery Store
FD,6.89,Regular,0.13720009,snacks_breakfast_type,191.882,16,,Tier 2,Supermarket Type1
FD,16.25,Low Fat,0.02573698,Fruits and Vegetables,169.3474,26,Small,Tier 1,Supermarket Type1
FD,8.94,Low Fat,0.070354806,Frozen Foods,53.9298,38,Small,Tier 1,Grocery Store
FD,17.6,Regular,0.047028483,snacks_breakfast_type,118.3782,38,Medium,Tier 3,Supermarket Type3
DR,13.85,Low Fat,0.030857538,Drinks,140.6154,21,,Tier 2,Supermarket Type1
FD,16.75,Low Fat,0.045302246,snacks_breakfast_type,189.1556,16,,Tier 2,Supermarket Type1
FD,18.0,Low Fat,0.073341257,others,155.7972,21,,Tier 2,Supermarket Type1
FD,9.21,Low Fat,0.00880049,Fruits and Vegetables,123.0414,14,Medium,Tier 3,Supermarket Type2
FD,20.85,Low Fat,0.039562497,Meat,118.1808,26,Small,Tier 1,Supermarket Type1
FD,10.0,Low Fat,0.038745948,Fruits and Vegetables,245.0144,24,Medium,Tier 1,Supermarket Type1
FD,5.48,Low Fat,0.015193653,Frozen Foods,82.825,16,,Tier 2,Supermarket Type1
FD,19.25,Regular,0.027075481,Meat,195.611,19,Small,Tier 2,Supermarket Type1
FD,18.5,Low Fat,0.052068722,snacks_breakfast_type,117.0124,26,Small,Tier 1,Supermarket Type1
FD,15.7,Regular,0.114010306,others,112.2202,38,Medium,Tier 3,Supermarket Type3
NC,10.7,Low Fat,0.111641021,others,38.8848,38,Small,Tier 1,Grocery Store
FD,15.7,Regular,0.008771522,Meat,205.798,14,Medium,Tier 3,Supermarket Type2
FD,20.25,Regular,0.103304968,others,92.612,16,,Tier 2,Supermarket Type1
FD,10.8,Low Fat,0.028919203,snacks_breakfast_type,240.9222,36,High,Tier 3,Supermarket Type1
NC,18.5,Low Fat,0.034136703,others,130.0284,16,,Tier 2,Supermarket Type1
FD,11.8,Regular,0.045393469,Meat,102.2674,38,Small,Tier 1,Grocery Store
FD,9.7,Regular,0.047199898,Frozen Foods,244.9144,38,Medium,Tier 3,Supermarket Type3
FD,18.0,Low Fat,0.07319282,others,154.2972,26,Small,Tier 1,Supermarket Type1
NC,10.5,Low Fat,0.011287929,others,238.9248,26,Small,Tier 1,Supermarket Type1
DR,14.7,Low Fat,0.036628533,Drinks,145.6128,38,Small,Tier 1,Grocery Store
FD,14.0,Regular,0.105057952,Frozen Foods,141.1812,36,High,Tier 3,Supermarket Type1
FD,15.6,Regular,0.0,snacks_breakfast_type,169.2132,26,Small,Tier 1,Supermarket Type1
FD,11.6,Low Fat,0.017741644,others,178.3686,19,Small,Tier 2,Supermarket Type1
NC,16.25,Low Fat,0.039225553,others,116.2176,21,,Tier 2,Supermarket Type1
FD,20.5,Low Fat,0.141766029,Starchy Foods,87.4172,19,Small,Tier 2,Supermarket Type1
FD,5.035,Regular,0.080236064,snacks_breakfast_type,226.4036,14,Medium,Tier 3,Supermarket Type2
NC,17.6,Low Fat,0.082332074,others,160.392,26,Small,Tier 1,Supermarket Type1
FD,18.25,Low Fat,0.136085739,snacks_breakfast_type,259.8962,38,Small,Tier 1,Grocery Store
FD,8.68,Low Fat,0.008885672,Frozen Foods,96.9384,16,,Tier 2,Supermarket Type1
FD,17.5,Low Fat,0.0,snacks_breakfast_type,255.2356,36,High,Tier 3,Supermarket Type1
FD,7.435,Low Fat,0.141355941,Starchy Foods,168.5158,25,,Tier 3,Grocery Store
FD,8.71,Low Fat,0.121227447,others,95.2778,19,Small,Tier 2,Supermarket Type1
FD,5.34,Regular,0.005975976,snacks_breakfast_type,100.8358,21,,Tier 2,Supermarket Type1
FD,10.695,Regular,0.011425458,snacks_breakfast_type,73.6038,26,Small,Tier 1,Supermarket Type1
FD,14.8,Regular,0.043961689,snacks_breakfast_type,109.157,24,Medium,Tier 1,Supermarket Type1
NC,18.0,Low Fat,0.01949589,others,127.8994,16,,Tier 2,Supermarket Type1
NC,12.15,Low Fat,0.029523375,others,117.215,26,Small,Tier 1,Supermarket Type1
FD,6.87,Regular,0.062751586,Frozen Foods,244.2486,38,Small,Tier 1,Grocery Store
FD,21.2,Regular,0.0,Starchy Foods,173.0738,16,,Tier 2,Supermarket Type1
FD,8.3,Low Fat,0.059175953,Fruits and Vegetables,37.8506,25,,Tier 3,Grocery Store
NC,9.06,Low Fat,0.009831566,others,211.156,16,,Tier 2,Supermarket Type1
FD,5.095,Regular,0.216762584,snacks_breakfast_type,142.2838,25,,Tier 3,Grocery Store
FD,11.15,Low Fat,0.057254675,Baking Goods,104.0622,16,,Tier 2,Supermarket Type1
FD,5.34,Regular,0.0,snacks_breakfast_type,101.0358,25,,Tier 3,Grocery Store
FD,19.75,Low Fat,0.041598912,Fruits and Vegetables,118.0466,16,,Tier 2,Supermarket Type1
DR,19.6,Low Fat,0.024206741,Dairy,47.0718,36,High,Tier 3,Supermarket Type1
NC,10.695,Low Fat,0.063862271,others,38.1848,24,Medium,Tier 1,Supermarket Type1
FD,9.42,Regular,0.073484791,Frozen Foods,63.6194,25,,Tier 3,Grocery Store
FD,13.5,Regular,0.125983278,snacks_breakfast_type,264.691,16,,Tier 2,Supermarket Type1
FD,19.35,Regular,0.058161092,Fruits and Vegetables,239.4564,21,,Tier 2,Supermarket Type1
FD,9.0,Low Fat,0.1092139,snacks_breakfast_type,175.037,25,,Tier 3,Grocery Store
FD,11.6,Regular,0.138195491,Frozen Foods,83.1276,38,Small,Tier 1,Grocery Store
FD,20.75,Low Fat,0.007595816,snacks_breakfast_type,104.4622,16,,Tier 2,Supermarket Type1
FD,15.0,Low Fat,0.11956313,snacks_breakfast_type,227.2694,16,,Tier 2,Supermarket Type1
NC,17.85,Low Fat,0.018020588,others,94.4094,19,Small,Tier 2,Supermarket Type1
DR,7.81,Low Fat,0.067442541,Drinks,244.7486,19,Small,Tier 2,Supermarket Type1
FD,11.15,Regular,0.008239804,Dairy,152.2708,38,Medium,Tier 3,Supermarket Type3
FD,12.1,Low Fat,0.030127406,others,74.567,26,Small,Tier 1,Supermarket Type1
FD,17.6,Regular,0.016014343,snacks_breakfast_type,44.0402,36,High,Tier 3,Supermarket Type1
FD,14.0,Low Fat,0.041524729,Starchy Foods,181.7634,16,,Tier 2,Supermarket Type1
NC,15.1,Low Fat,0.055926872,others,141.4496,24,Medium,Tier 1,Supermarket Type1
FD,14.5,Regular,0.097597084,snacks_breakfast_type,158.5262,14,Medium,Tier 3,Supermarket Type2
FD,18.1,Low Fat,0.177107232,Dairy,157.5288,38,Medium,Tier 3,Supermarket Type3
FD,20.25,Regular,0.0,others,186.4924,24,Medium,Tier 1,Supermarket Type1
NC,9.0,Low Fat,0.019506654,others,169.5474,26,Small,Tier 1,Supermarket Type1
NC,11.8,Low Fat,0.022936556,others,177.6686,14,Medium,Tier 3,Supermarket Type2
NC,20.25,Low Fat,0.02610006,others,182.8976,16,,Tier 2,Supermarket Type1
FD,7.51,Low Fat,0.103974431,snacks_breakfast_type,112.1544,24,Medium,Tier 1,Supermarket Type1
FD,10.7,Regular,0.086360962,snacks_breakfast_type,153.7972,38,Medium,Tier 3,Supermarket Type3
FD,17.85,Low Fat,0.011298801,snacks_breakfast_type,213.256,16,,Tier 2,Supermarket Type1
NC,9.1,Low Fat,0.055541153,others,115.6518,21,,Tier 2,Supermarket Type1
NC,10.0,Low Fat,0.088720803,others,144.4102,38,Medium,Tier 3,Supermarket Type3
NC,5.88,Low Fat,0.024866609,others,148.3392,36,High,Tier 3,Supermarket Type1
DR,15.0,Low Fat,0.064129493,Drinks,45.906,19,Small,Tier 2,Supermarket Type1
FD,16.1,Low Fat,0.100213917,Fruits and Vegetables,79.0328,19,Small,Tier 2,Supermarket Type1
FD,21.25,Low Fat,0.155621254,snacks_breakfast_type,178.237,24,Medium,Tier 1,Supermarket Type1
FD,21.1,Regular,0.161832494,Fruits and Vegetables,65.7168,21,,Tier 2,Supermarket Type1
FD,11.8,Regular,0.170283492,others,115.1834,26,Small,Tier 1,Supermarket Type1
FD,15.15,Regular,0.012313256,snacks_breakfast_type,132.8284,14,Medium,Tier 3,Supermarket Type2
DR,17.25,Low Fat,0.0,Dairy,94.812,38,Medium,Tier 3,Supermarket Type3
FD,5.985,Low Fat,0.005689466,Baking Goods,186.6924,14,Medium,Tier 3,Supermarket Type2
NC,9.13,Low Fat,0.052140695,others,153.4024,16,,Tier 2,Supermarket Type1
